cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms	neurotransmitter_accession	neurotransmitter_rationale	neurotransmitter_marker_gene_evidence	original_label	cell_set_designation	cell_set_alias	cell_set_structure	cell_set_ontology_tag	cell_set_alias_assignee	taxonomy_id
CS202106160_44	44_Vip	44_Vip	subclass_label:a547e761cb	Vip	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						44_Vip	CTX-HPF 044	44_Vip	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_256	256_L5 PT CTX	256_L5 PT CTX	CS202106160_528	L5 PT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						256_L5 PT CTX	CTX-HPF 256	256_L5 PT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_125	125_L2 IT APr	125_L2 IT APr	subclass_label:5d7a3b937f	L2/3 IT PPP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						125_L2 IT APr	CTX-HPF 125	125_L2 IT APr	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_196	196_L5 IT CTX	196_L5 IT CTX	subclass_label:d88cf82cba	L5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						196_L5 IT CTX	CTX-HPF 196	196_L5 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_166	166_L2/3 IT CTX	166_L2/3 IT CTX	CS202106160_494	L2/3 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						166_L2/3 IT CTX	CTX-HPF 166	166_L2/3 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_260	260_L5 PT CTX	260_L5 PT CTX	CS202106160_528	L5 PT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						260_L5 PT CTX	CTX-HPF 260	260_L5 PT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_121	121_Pvalb	121_Pvalb	CS202106160_463	Pvalb	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						121_Pvalb	CTX-HPF 121	121_Pvalb	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_2	2_Meis2	2_Meis2	CS202106160_396	Meis2	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						2_Meis2	CTX-HPF 002	2_Meis2	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_379	379_Endo	379_Endo	subclass_label:f5fad7e30c	Endo	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						379_Endo	CTX-HPF 379	379_Endo	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_112	112_Pvalb	112_Pvalb	CS202106160_463	Pvalb	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						112_Pvalb	CTX-HPF 112	112_Pvalb	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_76	76_Sst	76_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						76_Sst	CTX-HPF 076	76_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_177	177_IT HATA	177_IT HATA	CS202106160_498	L2/3 IT RHP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						177_IT HATA	CTX-HPF 177	177_IT HATA	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_53	53_Vip	53_Vip	subclass_label:a547e761cb	Vip	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						53_Vip	CTX-HPF 053	53_Vip	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_220	220_L6 IT CTX	220_L6 IT CTX	subclass_label:10db4e9506	L6 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						220_L6 IT CTX	CTX-HPF 220	220_L6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_335	335_CA1-ve	335_CA1-ve	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						335_CA1-ve	CTX-HPF 335	335_CA1-ve	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_242	242_L5 PT CTX	242_L5 PT CTX	CS202106160_528	L5 PT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						242_L5 PT CTX	CTX-HPF 242	242_L5 PT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_354	354_CA3-ve	354_CA3-ve	CS202106160_578	CA3	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						354_CA3-ve	CTX-HPF 354	354_CA3-ve	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_164	164_L2/3 IT CTX	164_L2/3 IT CTX	CS202106160_494	L2/3 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						164_L2/3 IT CTX	CTX-HPF 164	164_L2/3 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_88	88_Sst	88_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						88_Sst	CTX-HPF 088	88_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_257	257_L5 PT CTX	257_L5 PT CTX	CS202106160_528	L5 PT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						257_L5 PT CTX	CTX-HPF 257	257_L5 PT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_276	276_NP PPP	276_NP PPP	CS202106160_544	NP PPP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						276_NP PPP	CTX-HPF 276	276_NP PPP	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_73	73_Sst	73_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						73_Sst	CTX-HPF 073	73_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_120	120_Pvalb	120_Pvalb	CS202106160_463	Pvalb	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						120_Pvalb	CTX-HPF 120	120_Pvalb	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_266	266_L5/6 NP CTX	266_L5/6 NP CTX	CS202106160_538	L5/6 NP CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						266_L5/6 NP CTX	CTX-HPF 266	266_L5/6 NP CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_227	227_L6 IT CTX	227_L6 IT CTX	subclass_label:10db4e9506	L6 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						227_L6 IT CTX	CTX-HPF 227	227_L6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_349	349_Mossy	349_Mossy	CS202106160_578	CA3	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						349_Mossy	CTX-HPF 349	349_Mossy	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_205	205_L5/6 IT CTX	205_L5/6 IT CTX	subclass_label:d88cf82cba	L5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						205_L5/6 IT CTX	CTX-HPF 205	205_L5/6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_305	305_L6b CTX	305_L6b CTX	subclass_label:8fb647662f	L6b CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						305_L6b CTX	CTX-HPF 305	305_L6b CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_274	274_NP SUB	274_NP SUB	CS202106160_541	NP SUB	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						274_NP SUB	CTX-HPF 274	274_NP SUB	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_270	270_L5/6 NP CT CTX	270_L5/6 NP CT CTX	CS202106160_538	L5/6 NP CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						270_L5/6 NP CT CTX	CTX-HPF 270	270_L5/6 NP CT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_234	234_L6 IT ENTl	234_L6 IT ENTl	subclass_label:7ec93c83f4	L6 IT ENTl	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						234_L6 IT ENTl	CTX-HPF 234	234_L6 IT ENTl	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_167	167_L2/3 IT CTX	167_L2/3 IT CTX	CS202106160_494	L2/3 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						167_L2/3 IT CTX	CTX-HPF 167	167_L2/3 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_219	219_L6 IT CTX	219_L6 IT CTX	subclass_label:10db4e9506	L6 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						219_L6 IT CTX	CTX-HPF 219	219_L6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_178	178_L4 IT CTX	178_L4 IT CTX	subclass_label:40ec201664	L4/5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						178_L4 IT CTX	CTX-HPF 178	178_L4 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_237	237_Car3	237_Car3	CS202106160_525	Car3	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						237_Car3	CTX-HPF 237	237_Car3	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_79	79_Sst	79_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						79_Sst	CTX-HPF 079	79_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_247	247_L5 PT CTX	247_L5 PT CTX	CS202106160_528	L5 PT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						247_L5 PT CTX	CTX-HPF 247	247_L5 PT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_160	160_L2/3 IT ENTl	160_L2/3 IT ENTl	subclass_label:9c706e279e	L2/3 IT ENTl	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						160_L2/3 IT ENTl	CTX-HPF 160	160_L2/3 IT ENTl	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_115	115_Pvalb	115_Pvalb	CS202106160_463	Pvalb	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						115_Pvalb	CTX-HPF 115	115_Pvalb	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_348	348_CA1-do	348_CA1-do	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						348_CA1-do	CTX-HPF 348	348_CA1-do	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_226	226_L6 IT CTX	226_L6 IT CTX	subclass_label:10db4e9506	L6 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						226_L6 IT CTX	CTX-HPF 226	226_L6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_185	185_L4/5 IT CTX	185_L4/5 IT CTX	subclass_label:40ec201664	L4/5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						185_L4/5 IT CTX	CTX-HPF 185	185_L4/5 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_192	192_L4/5 IT CTX	192_L4/5 IT CTX	subclass_label:40ec201664	L4/5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						192_L4/5 IT CTX	CTX-HPF 192	192_L4/5 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_179	179_L4 IT CTX	179_L4 IT CTX	subclass_label:40ec201664	L4/5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						179_L4 IT CTX	CTX-HPF 179	179_L4 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_169	169_L2/3 IT CTX	169_L2/3 IT CTX	CS202106160_494	L2/3 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						169_L2/3 IT CTX	CTX-HPF 169	169_L2/3 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_24	24_Sncg	24_Sncg	subclass_label:86d5f48b05	Sncg	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						24_Sncg	CTX-HPF 024	24_Sncg	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_326	326_ProS	326_ProS	subclass_label:a416c5553f	SUB-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						326_ProS	CTX-HPF 326	326_ProS	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_245	245_L5 PT CTX	245_L5 PT CTX	CS202106160_528	L5 PT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						245_L5 PT CTX	CTX-HPF 245	245_L5 PT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_66	66_Sst	66_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						66_Sst	CTX-HPF 066	66_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_324	324_ProS	324_ProS	subclass_label:a416c5553f	SUB-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						324_ProS	CTX-HPF 324	324_ProS	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_63	63_Sst Chodl	63_Sst Chodl	CS202106160_441	Sst Chodl	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						63_Sst Chodl	CTX-HPF 063	63_Sst Chodl	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_332	332_CA1-ProS	332_CA1-ProS	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						332_CA1-ProS	CTX-HPF 332	332_CA1-ProS	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_331	331_CA1-ProS	331_CA1-ProS	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						331_CA1-ProS	CTX-HPF 331	331_CA1-ProS	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_122	122_Pvalb Vipr2	122_Pvalb Vipr2	CS202106160_463	Pvalb	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						122_Pvalb Vipr2	CTX-HPF 122	122_Pvalb Vipr2	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_10	10_Lamp5	10_Lamp5	subclass_label:e40986e2c0	Lamp5	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						10_Lamp5	CTX-HPF 010	10_Lamp5	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_211	211_L5/6 IT TPE-ENT	211_L5/6 IT TPE-ENT	subclass_label:753888bc28	L5/6 IT TPE-ENT	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						211_L5/6 IT TPE-ENT	CTX-HPF 211	211_L5/6 IT TPE-ENT	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_130	130_L2/3 IT POST-PRE	130_L2/3 IT POST-PRE	subclass_label:5d7a3b937f	L2/3 IT PPP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						130_L2/3 IT POST-PRE	CTX-HPF 130	130_L2/3 IT POST-PRE	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_174	174_IT HATA	174_IT HATA	CS202106160_498	L2/3 IT RHP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						174_IT HATA	CTX-HPF 174	174_IT HATA	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_80	80_Sst	80_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						80_Sst	CTX-HPF 080	80_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_158	158_L2/3 IT AI	158_L2/3 IT AI	subclass_label:9c706e279e	L2/3 IT ENTl	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						158_L2/3 IT AI	CTX-HPF 158	158_L2/3 IT AI	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_255	255_L5 PT CTX	255_L5 PT CTX	CS202106160_528	L5 PT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						255_L5 PT CTX	CTX-HPF 255	255_L5 PT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_15	15_Lamp5	15_Lamp5	subclass_label:e40986e2c0	Lamp5	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						15_Lamp5	CTX-HPF 015	15_Lamp5	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_139	139_L3 IT ENTl	139_L3 IT ENTl	CS202106160_480	L3 IT ENT	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						139_L3 IT ENTl	CTX-HPF 139	139_L3 IT ENTl	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_45	45_Vip	45_Vip	subclass_label:a547e761cb	Vip	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						45_Vip	CTX-HPF 045	45_Vip	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_47	47_Vip	47_Vip	subclass_label:a547e761cb	Vip	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						47_Vip	CTX-HPF 047	47_Vip	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_30	30_Ntng1 HPF	30_Ntng1 HPF	subclass_label:86d5f48b05	Sncg	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						30_Ntng1 HPF	CTX-HPF 030	30_Ntng1 HPF	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_288	288_L6 CT CTX	288_L6 CT CTX	CS202106160_548	L6 CT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						288_L6 CT CTX	CTX-HPF 288	288_L6 CT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_52	52_Vip	52_Vip	subclass_label:a547e761cb	Vip	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						52_Vip	CTX-HPF 052	52_Vip	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_32	32_Sncg	32_Sncg	subclass_label:86d5f48b05	Sncg	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						32_Sncg	CTX-HPF 032	32_Sncg	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_90	90_Sst	90_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						90_Sst	CTX-HPF 090	90_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_154	154_L2/3 IT ENTl	154_L2/3 IT ENTl	subclass_label:9c706e279e	L2/3 IT ENTl	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						154_L2/3 IT ENTl	CTX-HPF 154	154_L2/3 IT ENTl	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_4	4_Meis2 HPF	4_Meis2 HPF	subclass_label:86d5f48b05	Sncg	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						4_Meis2 HPF	CTX-HPF 004	4_Meis2 HPF	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_371	371_Oligo	371_Oligo	subclass_label:3deb6c773a	Oligo	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						371_Oligo	CTX-HPF 371	371_Oligo	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_157	157_L2/3 IT ENTl	157_L2/3 IT ENTl	subclass_label:9c706e279e	L2/3 IT ENTl	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						157_L2/3 IT ENTl	CTX-HPF 157	157_L2/3 IT ENTl	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_310	310_L6b RHP	310_L6b RHP	subclass_label:8fb647662f	L6b CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						310_L6b RHP	CTX-HPF 310	310_L6b RHP	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_252	252_L5 PT CTX	252_L5 PT CTX	CS202106160_528	L5 PT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						252_L5 PT CTX	CTX-HPF 252	252_L5 PT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_37	37_Sncg	37_Sncg	subclass_label:86d5f48b05	Sncg	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						37_Sncg	CTX-HPF 037	37_Sncg	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_283	283_L6 CT CTX	283_L6 CT CTX	CS202106160_548	L6 CT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						283_L6 CT CTX	CTX-HPF 283	283_L6 CT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_352	352_CA3-ve	352_CA3-ve	CS202106160_578	CA3	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						352_CA3-ve	CTX-HPF 352	352_CA3-ve	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_258	258_L5 PT CTX	258_L5 PT CTX	CS202106160_528	L5 PT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						258_L5 PT CTX	CTX-HPF 258	258_L5 PT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_364	364_DG	364_DG	CS202106160_586	DG	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						364_DG	CTX-HPF 364	364_DG	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_246	246_L5 PT CTX	246_L5 PT CTX	CS202106160_528	L5 PT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						246_L5 PT CTX	CTX-HPF 246	246_L5 PT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_315	315_L6b CTX	315_L6b CTX	subclass_label:8fb647662f	L6b CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						315_L6b CTX	CTX-HPF 315	315_L6b CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_56	56_Vip HPF	56_Vip HPF	subclass_label:a547e761cb	Vip	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						56_Vip HPF	CTX-HPF 056	56_Vip HPF	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_277	277_NP PPP	277_NP PPP	CS202106160_544	NP PPP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						277_NP PPP	CTX-HPF 277	277_NP PPP	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_163	163_L2/3 IT CTX	163_L2/3 IT CTX	CS202106160_494	L2/3 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						163_L2/3 IT CTX	CTX-HPF 163	163_L2/3 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_188	188_L4/5 IT CTX	188_L4/5 IT CTX	subclass_label:40ec201664	L4/5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						188_L4/5 IT CTX	CTX-HPF 188	188_L4/5 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_337	337_CA1	337_CA1	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						337_CA1	CTX-HPF 337	337_CA1	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_375	375_Oligo	375_Oligo	subclass_label:3deb6c773a	Oligo	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						375_Oligo	CTX-HPF 375	375_Oligo	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_307	307_L6b CTX	307_L6b CTX	subclass_label:8fb647662f	L6b CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						307_L6b CTX	CTX-HPF 307	307_L6b CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_113	113_Pvalb	113_Pvalb	CS202106160_463	Pvalb	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						113_Pvalb	CTX-HPF 113	113_Pvalb	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_359	359_CA2-IG-FC	359_CA2-IG-FC	CS202106160_585	CA2-IG-FC	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						359_CA2-IG-FC	CTX-HPF 359	359_CA2-IG-FC	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_321	321_SUB	321_SUB	subclass_label:a416c5553f	SUB-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						321_SUB	CTX-HPF 321	321_SUB	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_23	23_Sncg	23_Sncg	subclass_label:86d5f48b05	Sncg	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						23_Sncg	CTX-HPF 023	23_Sncg	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_224	224_L6 IT CTX	224_L6 IT CTX	subclass_label:10db4e9506	L6 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						224_L6 IT CTX	CTX-HPF 224	224_L6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_75	75_Sst	75_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						75_Sst	CTX-HPF 075	75_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_119	119_Pvalb	119_Pvalb	CS202106160_463	Pvalb	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						119_Pvalb	CTX-HPF 119	119_Pvalb	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_265	265_L5/6 NP CTX	265_L5/6 NP CTX	CS202106160_538	L5/6 NP CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						265_L5/6 NP CTX	CTX-HPF 265	265_L5/6 NP CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
