cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms	neurotransmitter_accession	neurotransmitter_rationale	neurotransmitter_marker_gene_evidence	original_label	cell_set_designation	cell_set_alias	cell_set_structure	cell_set_ontology_tag	cell_set_alias_assignee	taxonomy_id
CS202106160_367	367_Oligo	367_Oligo	subclass_label:3deb6c773a	Oligo	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						367_Oligo	CTX-HPF 367	367_Oligo	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_295	295_CT SUB	295_CT SUB	CS202106160_551	CT SUB	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						295_CT SUB	CTX-HPF 295	295_CT SUB	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_287	287_L6 CT CTX	287_L6 CT CTX	CS202106160_548	L6 CT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						287_L6 CT CTX	CTX-HPF 287	287_L6 CT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_137	137_L3 IT ENTm	137_L3 IT ENTm	CS202106160_480	L3 IT ENT	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						137_L3 IT ENTm	CTX-HPF 137	137_L3 IT ENTm	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_215	215_L5/6 IT TPE-ENT	215_L5/6 IT TPE-ENT	subclass_label:753888bc28	L5/6 IT TPE-ENT	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						215_L5/6 IT TPE-ENT	CTX-HPF 215	215_L5/6 IT TPE-ENT	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_366	366_Oligo	366_Oligo	subclass_label:3deb6c773a	Oligo	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						366_Oligo	CTX-HPF 366	366_Oligo	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_380	380_SMC-Peri	380_SMC-Peri	CS202106160_604	SMC-Peri	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						380_SMC-Peri	CTX-HPF 380	380_SMC-Peri	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_374	374_Oligo	374_Oligo	subclass_label:3deb6c773a	Oligo	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						374_Oligo	CTX-HPF 374	374_Oligo	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_25	25_Sncg	25_Sncg	subclass_label:86d5f48b05	Sncg	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						25_Sncg	CTX-HPF 025	25_Sncg	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_236	236_Car3	236_Car3	CS202106160_525	Car3	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						236_Car3	CTX-HPF 236	236_Car3	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
